Lmm,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
10,0,1318,75,0,0,546,199,134,185,82,1325,0,93,186,950,1268,28,0,0,0,22,0,82,0,0,0,0,0
11,0,2152,152,0,114,807,313,208,279,125,1611,85,150,291,1341,1817,0,0,94,0,171,38,135,2,0,0,0,0
12,0,3508,308,0,0,1190,491,323,419,191,1952,128,240,455,1890,2597,70,363,413,70,202,98,79,0,237,0,0,0
13,0,5695,624,1,93,1749,768,501,627,291,2354,162,384,710,2654,3696,294,1722,1085,234,122,235,177,97,596,532,0,28
14,78,9194,1261,2,258,2556,1198,774,936,441,2823,660,613,1104,3713,5233,636,3152,3190,1138,900,389,291,83,834,665,229,101
15,2074,14706,2539,7,1249,3708,1858,1189,1388,666,3378,1741,977,1710,5164,7354,1198,5548,7287,3102,1289,189,1157,155,941,1425,870,281
16,3974,23341,5134,22,2240,5320,2854,1811,2040,999,3994,1861,1548,2631,7126,10227,3386,6784,13528,7810,2959,1027,2315,822,1230,4544,1313,1300
17,13727,35990,10072,83,4673,7583,4326,2727,2961,1484,4671,3527,2433,4008,9732,14027,5947,8843,15094,11655,3636,1832,3059,1333,2430,4737,4179,1647
18,29620,54001,19279,299,10649,10421,6429,4065,4241,2171,5432,5003,3776,6031,13122,18895,8092,10161,19820,16144,4593,2638,4843,2309,3630,8066,3372,2808
19,29666,78433,35810,814,12931,14209,9295,5897,5938,3114,6254,5991,5753,8854,17392,24883,11506,17376,19549,25891,5244,6473,6485,3532,4546,8024,8735,3822
20,63382,234265,156289,2955,23271,18858,13425,8348,8279,4394,7573,12116,8605,12744,22767,31997,12229,19297,22348,39747,8738,11521,12803,5706,7249,10160,9713,6458
21,51922,138484,108031,32996,19615,24820,18569,11413,11910,6276,9341,10260,12424,17805,29040,40555,18877,26146,32679,54289,11598,15820,16845,7775,10398,12170,15433,9269
22,64770,77194,60622,31979,29023,21298,21587,16010,12320,8902,17764,24263,17516,26155,51621,25784,22077,26109,36293,70001,17948,24938,18989,11941,15171,14269,21300,11464
23,44411,51001,36064,22597,23464,30692,23143,17227,17576,9357,15299,24812,19523,25155,61081,53951,30042,28950,42629,70322,24134,27882,22167,14058,13948,13238,27289,15894
24,31551,43954,28456,17129,29262,41808,24072,19876,17805,12836,20763,26235,19730,26608,43406,49240,30467,27006,42790,56230,30803,30359,26034,18202,16065,16288,24913,15836
25,35162,39829,28130,17956,34469,41355,31065,22724,21385,19960,30089,34467,29383,31534,47522,35792,31376,31015,43900,55504,34119,30750,24406,18610,18348,14716,25696,22470
26,30342,30817,23441,18775,29237,32754,29245,22702,24510,20810,24100,24211,19056,18708,24882,38790,30654,26004,36814,45189,33060,29446,22463,20352,14820,15622,23430,19857
27,28357,28715,22331,16290,23611,31610,28907,23633,27943,20472,25462,24104,17498,16307,23438,27502,27294,22530,30504,32134,30006,21020,21948,22730,15647,15383,20365,21024
28,24925,26134,19157,19672,22213,33851,29028,21631,22031,16618,20563,17450,14261,15269,18493,26203,24759,18837,26482,24909,23613,18533,21659,21375,12191,12838,16084,18814
29,18703,20952,14247,16275,17276,25413,21145,16961,16324,16763,21463,13189,10261,12718,14962,18053,19381,16923,19228,18779,16980,16115,16687,18700,11687,11708,15543,16876
30,18407,17871,13696,12061,15053,20084,21682,16111,19413,20478,21774,17021,16882,14567,16833,18981,18868,16044,17170,16268,15087,12649,16531,17612,10832,10315,11241,14334
31,11419,13159,9038,11090,12505,14375,13535,11276,13418,14098,9856,8668,9417,10102,11542,10203,14672,13469,14051,12923,12014,10697,12682,14024,9500,8518,10059,12314
32,10185,12823,8410,8541,8635,12825,12751,11524,13710,14436,9652,9718,9860,9048,11448,10403,11849,11057,10433,10286,10011,9299,10150,12082,7447,7614,7801,11836
33,8528,8848,7128,10650,7273,9311,11387,7033,7128,8589,6344,6178,6038,6373,8297,7857,8566,8523,8095,8965,8343,7857,7757,9201,6440,6082,5923,6892
34,5926,7812,6967,10543,7987,7324,7361,6688,7590,6529,4820,6770,5930,5242,6204,5329,6456,6684,7090,7524,7076,7449,6815,7414,5739,4649,4617,7091
35,5763,5935,6214,7637,5425,5931,6309,5648,4678,6580,4739,6787,5277,4903,5220,4316,4829,5097,5361,5366,6793,5573,4900,6094,4715,3531,3016,5087
36,4033,5064,4532,6274,4979,4999,4609,4338,3709,4134,2568,5356,4295,3245,4041,3161,3931,3416,3415,4177,5071,3945,3894,3681,4319,2652,2237,3654
37,4024,3754,3545,4841,4541,4195,4089,3753,3496,4227,2135,4796,3232,2947,2903,2050,3158,2949,2844,3221,4138,3273,2753,3186,3797,2122,1602,2727
38,3131,3106,3193,4966,2993,3933,2991,2771,2879,2788,1142,3571,2589,2688,2370,2225,2752,2129,2496,2760,2679,2491,2139,2263,4007,1632,1079,1854
39,2151,2778,2154,3339,2869,2987,2290,1841,1746,1596,927,2205,2186,2027,2298,1560,2189,1822,1797,1956,2247,2412,1546,1662,3496,1314,968,2075
40,2425,2159,2175,2766,2414,2574,2206,1738,2015,1956,982,3140,2353,1862,1908,1399,1973,1628,1665,1768,1758,1633,1257,1318,3321,1107,518,965
41,1375,1753,1461,1951,2076,1546,1452,1150,1123,1250,520,1558,1363,1020,941,764,1457,1248,1174,1171,1267,1190,886,971,2740,878,438,676
42,1350,1542,1130,1668,1662,1599,1111,1118,1558,1142,508,1490,1124,797,863,632,1407,901,984,990,1130,1069,742,746,2654,635,351,412
43,1150,1209,1087,1908,1495,1348,1069,687,1039,610,370,1055,762,534,530,641,1068,787,842,741,722,805,578,560,2161,563,320,495
44,965,704,1192,1401,1089,1050,745,500,915,414,219,778,708,413,383,432,810,719,640,633,746,706,487,515,1762,536,249,234
45,641,581,1194,955,1058,766,684,550,700,464,253,904,429,421,523,416,821,613,605,631,518,536,396,442,1182,478,177,206
46,645,689,669,713,666,734,584,353,460,374,135,525,424,248,294,328,535,485,415,479,373,405,307,312,1024,441,181,159
47,509,391,641,715,431,567,417,407,437,397,140,327,276,213,368,241,456,388,353,440,311,361,262,290,865,378,88,158
48,343,333,526,863,636,588,456,270,494,264,92,382,104,205,188,188,339,313,339,382,257,294,254,237,656,381,134,87
49,290,254,378,470,377,263,145,178,254,205,57,132,151,177,183,79,206,318,288,319,237,262,196,204,557,212,74,72
50,319,216,351,230,263,256,238,273,255,179,76,154,159,154,160,115,253,306,276,287,201,228,156,160,501,160,46,63
51,135,241,240,181,210,107,126,156,214,123,38,191,58,109,135,73,170,214,176,246,163,201,115,135,383,132,37,58
52,192,48,180,335,180,159,202,107,175,77,30,115,93,85,102,46,150,152,184,201,138,116,110,120,296,128,32,24
53,137,70,150,121,124,111,55,136,91,84,26,156,23,133,82,51,120,111,142,137,140,121,98,97,198,96,24,42
54,111,112,218,99,189,94,120,77,55,75,11,93,11,63,40,20,80,90,104,156,115,95,63,95,271,93,17,18
55,76,85,187,53,63,61,128,66,91,53,9,114,16,75,53,30,57,47,109,137,79,73,75,79,152,58,15,11
56,111,41,123,26,28,66,50,49,47,62,12,7,5,18,24,13,23,86,69,117,60,67,54,75,132,46,8,5
57,74,39,116,43,34,61,72,36,77,48,8,31,14,20,46,6,47,49,58,134,70,41,31,67,98,48,22,10
58,39,65,70,2,11,68,58,47,88,48,9,14,5,16,29,6,22,27,43,134,45,80,48,47,105,52,3,8
59,32,60,36,13,17,28,13,31,36,30,8,10,2,7,26,3,10,32,41,85,33,19,23,48,79,33,12,3
60,21,7,30,5,24,7,54,26,32,9,5,8,4,2,21,11,8,10,19,115,33,23,14,42,48,22,3,2
61,21,15,15,4,11,0,25,12,4,4,0,0,3,8,7,0,5,5,28,40,23,7,8,30,39,15,8,1
62,0,0,21,10,0,44,3,8,0,9,1,10,0,1,2,0,4,3,16,21,9,9,9,16,55,18,1,1
63,19,13,10,0,3,28,0,5,20,4,5,4,0,0,5,1,1,5,9,19,9,7,10,7,23,11,2,1
64,0,7,0,0,0,14,7,10,0,0,0,0,0,4,0,0,0,8,8,18,10,6,3,16,12,8,0,0
65,8,0,4,0,0,0,30,16,4,0,0,4,2,1,0,1,0,1,14,11,9,1,3,9,11,7,0,0
66,0,0,0,0,0,0,7,0,20,2,4,0,0,0,0,0,1,1,6,10,1,0,2,3,11,3,0,0
67,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,1,5,8,1,0,2,3,6,1,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,4,7,3,0,0,4,7,0,0,0
69,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,6,2,0,1,1,2,2,0,0
70,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,2,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,5,0,0,0,1,1,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0
